stratum,reported_km,component,endpoint,n_a,n_b,gm_ratio,ci_lo,ci_hi,half_width_ln,sd_ratio,ks,verdict
mini@85km,84.6231,090,pSA(4),2500,2500,0.991402,0.979941,1.002997,0.011628,1.0118,0.0240,undetermined
mini@85km,84.6231,090,pSA(5),2500,2500,0.992167,0.981386,1.003066,0.010925,1.0407,0.0268,certified
mini@85km,84.6231,000,PGA,2500,2500,0.998113,0.990614,1.005669,0.007542,1.0100,0.0308,certified
mini@85km,84.6231,000,PGV,2500,2500,0.993812,0.985815,1.001873,0.008079,0.9916,0.0344,certified
mini@85km,84.6231,000,AI,2500,2500,0.998782,0.988954,1.008707,0.009889,1.0029,0.0176,certified
mini@85km,84.6231,000,CAV,2500,2500,0.999960,0.995242,1.004699,0.004728,1.0006,0.0104,certified
mini@85km,84.6231,000,Ds575,2500,2500,0.999605,0.995288,1.003940,0.004328,1.0163,0.0120,certified
mini@85km,84.6231,000,Ds595,2500,2500,1.000575,0.998018,1.003138,0.002559,0.9785,0.0184,certified
mini@85km,84.6231,000,pSA(0.01),2500,2500,0.998042,0.990549,1.005592,0.007536,1.0102,0.0304,certified
mini@85km,84.6231,000,pSA(0.02),2500,2500,0.997790,0.990320,1.005316,0.007515,1.0105,0.0304,certified
mini@85km,84.6231,000,pSA(0.03),2500,2500,0.997807,0.990400,1.005269,0.007451,1.0119,0.0248,certified
mini@85km,84.6231,000,pSA(0.05),2500,2500,0.998317,0.991074,1.005613,0.007282,1.0045,0.0212,certified
mini@85km,84.6231,000,pSA(0.075),2500,2500,1.001805,0.994310,1.009355,0.007509,1.0137,0.0184,certified
mini@85km,84.6231,000,pSA(0.1),2500,2500,1.001235,0.993260,1.009274,0.007997,1.0271,0.0280,certified
mini@85km,84.6231,000,pSA(0.15),2500,2500,0.998365,0.989676,1.007130,0.008741,0.9849,0.0180,certified
mini@85km,84.6231,000,pSA(0.2),2500,2500,0.998053,0.988746,1.007448,0.009369,1.0225,0.0220,certified
mini@85km,84.6231,000,pSA(0.25),2500,2500,1.001324,0.991644,1.011099,0.009714,1.0202,0.0116,certified
mini@85km,84.6231,000,pSA(0.3),2500,2500,0.993542,0.983414,1.003776,0.010247,1.0151,0.0240,certified
mini@85km,84.6231,000,pSA(0.4),2500,2500,0.995237,0.984724,1.005863,0.010620,1.0023,0.0300,certified
mini@85km,84.6231,000,pSA(0.5),2500,2500,0.994109,0.982976,1.005369,0.011263,1.0202,0.0276,certified
mini@85km,84.6231,000,pSA(0.75),2500,2500,1.006446,0.994510,1.018526,0.011931,1.0094,0.0204,certified
mini@85km,84.6231,000,pSA(1),2500,2500,0.998500,0.985908,1.011252,0.012691,0.9868,0.0212,certified
mini@85km,84.6231,000,pSA(1.5),2500,2500,0.992676,0.979840,1.005680,0.013015,0.9950,0.0164,undetermined
mini@85km,84.6231,000,pSA(2),2500,2500,0.993248,0.980333,1.006333,0.013088,0.9889,0.0264,certified
mini@85km,84.6231,000,pSA(3),2500,2500,0.999245,0.986721,1.011928,0.012613,1.0205,0.0224,certified
mini@85km,84.6231,000,pSA(4),2500,2500,0.986653,0.975169,0.998272,0.011707,1.0202,0.0396,undetermined
mini@85km,84.6231,000,pSA(5),2500,2500,0.991415,0.980506,1.002445,0.011064,1.0214,0.0312,certified
mini@85km,84.6231,ver,PGA,2500,2500,0.999854,0.992177,1.007590,0.007707,0.9677,0.0152,certified
mini@85km,84.6231,ver,PGV,2500,2500,1.000557,0.992484,1.008695,0.008101,1.0038,0.0208,certified
mini@85km,84.6231,ver,AI,2500,2500,1.004915,0.994982,1.014946,0.009933,0.9919,0.0220,certified
mini@85km,84.6231,ver,CAV,2500,2500,1.001867,0.997128,1.006628,0.004741,0.9956,0.0188,certified
mini@85km,84.6231,ver,Ds575,2500,2500,1.000938,0.996570,1.005325,0.004374,1.0031,0.0224,certified
mini@85km,84.6231,ver,Ds595,2500,2500,0.999618,0.997036,1.002207,0.002586,1.0282,0.0168,certified
mini@85km,84.6231,ver,pSA(0.01),2500,2500,0.999868,0.992196,1.007599,0.007702,0.9678,0.0148,certified
mini@85km,84.6231,ver,pSA(0.02),2500,2500,0.999984,0.992330,1.007696,0.007683,0.9684,0.0188,certified
mini@85km,84.6231,ver,pSA(0.03),2500,2500,1.000516,0.992910,1.008181,0.007631,0.9645,0.0140,certified
mini@85km,84.6231,ver,pSA(0.05),2500,2500,0.998507,0.991165,1.005903,0.007380,0.9763,0.0164,certified
mini@85km,84.6231,ver,pSA(0.075),2500,2500,0.999674,0.992166,1.007238,0.007538,0.9802,0.0220,certified
mini@85km,84.6231,ver,pSA(0.1),2500,2500,0.999270,0.991265,1.007339,0.008043,0.9957,0.0176,certified
mini@85km,84.6231,ver,pSA(0.15),2500,2500,0.996695,0.988072,1.005394,0.008690,0.9990,0.0136,certified
mini@85km,84.6231,ver,pSA(0.2),2500,2500,1.002843,0.993481,1.012292,0.009379,1.0143,0.0184,certified
mini@85km,84.6231,ver,pSA(0.25),2500,2500,1.003454,0.993770,1.013233,0.009698,0.9891,0.0220,certified
mini@85km,84.6231,ver,pSA(0.3),2500,2500,1.004655,0.994510,1.014903,0.010149,1.0184,0.0184,certified
mini@85km,84.6231,ver,pSA(0.4),2500,2500,1.002392,0.991584,1.013319,0.010842,1.0101,0.0148,certified
mini@85km,84.6231,ver,pSA(0.5),2500,2500,0.998823,0.987724,1.010045,0.011173,1.0237,0.0168,certified
mini@85km,84.6231,ver,pSA(0.75),2500,2500,0.991613,0.979736,1.003634,0.012050,0.9889,0.0308,undetermined
mini@85km,84.6231,ver,pSA(1),2500,2500,0.994147,0.981720,1.006730,0.012578,0.9896,0.0224,certified
mini@85km,84.6231,ver,pSA(1.5),2500,2500,1.004523,0.991615,1.017599,0.012933,1.0189,0.0260,certified
mini@85km,84.6231,ver,pSA(2),2500,2500,1.002225,0.989095,1.015531,0.013188,0.9966,0.0224,certified
mini@85km,84.6231,ver,pSA(3),2500,2500,0.990972,0.978726,1.003371,0.012434,0.9938,0.0260,undetermined
mini@85km,84.6231,ver,pSA(4),2500,2500,0.996801,0.985181,1.008558,0.011726,0.9600,0.0264,certified
mini@85km,84.6231,ver,pSA(5),2500,2500,1.001442,0.990322,1.012687,0.011166,0.9576,0.0236,certified
mini@133km,133.2071,090,PGA,2500,2500,0.997704,0.990210,1.005254,0.007540,1.0051,0.0284,certified
mini@133km,133.2071,090,PGV,2500,2500,0.997422,0.989769,1.005133,0.007702,0.9806,0.0232,certified
mini@133km,133.2071,090,AI,2500,2500,1.003181,0.993635,1.012819,0.009561,1.0017,0.0160,certified
mini@133km,133.2071,090,CAV,2500,2500,1.001539,0.996981,1.006118,0.004561,1.0020,0.0180,certified
